,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F
0,"  19 CHENG, KAI-WEN",65,0,65,0,0,0,11,3,2,3,14,65.0,1.18,2.91,274,950,68,1,9,10,0,39,1,0,24,21,70,78,0.897
1,"  41 CHENG, CHIA-YEN",61,0,61,0,0,0,2,3,2,5,18,33.1,1.56,4.86,154,592,33,0,19,2,3,24,2,0,23,18,41,32,1.281
2,"  69 HUANG, TZU-PENG",60,0,60,0,0,0,4,5,3,6,23,63.2,1.30,3.25,272,998,70,4,13,2,4,53,2,1,29,23,65,63,1.032
3,"  96 LIN, YI-HAO",52,0,52,0,0,0,4,5,0,2,19,49.2,1.11,2.54,212,820,34,3,21,5,4,59,8,0,17,14,46,41,1.122
4,"  34 LEE, CHEN-CHANG",52,0,52,0,0,0,3,1,10,3,2,50.0,0.92,1.26,194,733,42,2,4,2,0,65,3,0,9,7,40,41,0.976
5,"  41 WANG, YAO-LIN",52,0,52,0,0,0,3,5,0,4,9,52.1,1.26,4.47,224,868,56,9,10,1,2,58,5,0,28,26,42,55,0.764
6,"  13 CHEN, HUNG-WEN",50,0,50,0,0,0,6,0,20,4,4,53.0,0.85,1.70,205,771,32,3,13,4,0,51,2,0,10,10,50,55,0.909
7,"  23 LIU, HSUAN-TA",50,0,50,0,0,0,3,1,0,5,13,52.2,1.52,4.61,234,901,56,8,24,2,5,27,1,0,30,27,48,72,0.667
8,"  12 CHEN, YUN-WEN",48,0,48,0,0,0,2,3,24,5,1,47.2,1.43,3.02,213,837,50,5,18,1,5,55,3,1,18,16,46,38,1.211
9,"  51 LIN, CHI-WEI",44,0,44,0,0,0,1,0,0,0,11,43.0,1.35,5.23,187,760,40,7,18,1,6,43,2,0,32,25,26,53,0.491
10,"  48 LAI, HUNG-CHENG",43,0,43,0,0,0,0,3,0,4,5,33.0,1.82,7.09,163,602,45,7,15,1,1,20,2,0,27,26,43,38,1.132
11,"  0 CHEN, YU-HSUN",43,0,43,0,0,0,0,1,9,3,7,42.1,1.28,4.46,184,740,39,2,15,0,5,45,1,0,22,21,40,40,1.000
12,  81 林柏佑,42,0,42,0,0,0,0,2,2,3,9,36.0,1.56,5.00,163,584,46,4,10,0,3,35,1,0,23,20,30,39,0.769
13,"  18 KUAN, TA-YUAN",41,0,41,0,0,0,1,1,0,3,3,54.2,1.54,4.77,242,828,71,6,13,1,3,20,1,0,31,29,75,59,1.271
14,  76 吳丞哲,38,0,38,0,0,0,1,2,2,1,2,41.2,1.49,6.70,193,658,51,9,11,0,2,28,5,0,36,31,59,42,1.405
15,"  79 HSIEH, JUNG-HAO",38,0,38,0,0,0,1,0,8,2,4,34.2,1.67,4.67,158,606,41,3,17,1,2,21,2,0,19,18,28,48,0.583
16,"  15 WANG, KAI-CHENG",37,0,37,0,0,0,1,1,0,6,1,30.1,1.48,3.86,137,489,30,2,15,4,2,19,6,1,15,13,50,17,2.941
17,"  20 CHIANG, CHUNG-CHEN",34,0,34,0,0,0,0,1,0,4,6,31.0,1.65,6.68,150,559,33,6,18,4,3,27,1,0,26,23,36,29,1.241
18,"  41 WANG, CHING-MING",33,0,33,0,0,0,2,3,0,5,9,28.1,1.62,6.67,135,487,39,4,7,0,3,25,0,0,26,21,37,24,1.542
19,  97 Mitch Lively,31,27,4,0,0,0,10,11,0,1,1,167.0,1.34,3.23,724,2777,178,10,46,6,6,140,5,1,78,60,200,147,1.361
20,"  40 HUANG, CHUN-YEN",30,0,30,0,0,0,1,0,0,2,8,27.1,1.54,5.60,124,478,26,3,16,0,4,22,1,0,20,17,21,35,0.600
21,  44 黃偉晟,30,0,30,0,0,0,0,2,0,0,5,23.2,2.37,4.94,133,463,39,2,17,0,6,13,4,0,26,13,36,22,1.636
22,  38 李茲,30,27,3,0,0,0,16,6,2,0,1,161.2,1.32,4.18,686,2779,155,19,58,1,6,179,4,1,84,75,139,148,0.939
23,"  42 FU, YU-KANG",29,0,29,0,0,0,2,2,0,3,4,28.0,1.36,7.39,121,457,30,9,8,0,1,28,3,0,23,23,19,35,0.543
24,  24 尼克斯,29,29,0,2,2,1,11,9,0,0,0,177.0,1.33,3.86,758,2943,184,16,51,2,2,141,16,1,83,76,207,170,1.218
25,  12 洪聖欽,29,6,23,0,0,0,4,5,0,1,3,54.0,1.67,7.33,250,851,78,9,12,1,4,29,3,0,44,44,50,75,0.667
26,"  38 JHANG, JYUN-LONG",29,0,29,0,0,0,1,0,0,1,6,26.1,1.67,5.47,125,534,26,5,18,1,4,27,3,0,20,16,23,26,0.885
27,"  47 FAN, YU-YU",29,0,29,0,0,0,3,1,0,1,7,31.2,1.11,5.12,129,472,25,3,10,0,2,28,3,0,18,18,36,28,1.286
28,  26 葉家淇,28,0,28,0,0,0,2,0,0,1,4,23.0,1.91,7.83,112,550,22,2,22,0,0,29,5,0,21,20,15,24,0.625
29,  39 Mike Loree,26,26,0,2,1,1,12,9,0,0,0,171.2,1.00,2.78,679,2553,142,13,30,3,3,167,2,1,65,53,171,161,1.062
30,"  82 WANG, WEI-YONG",25,0,25,0,0,0,1,0,0,0,8,23.1,1.11,3.09,102,387,18,1,8,0,2,24,1,0,13,8,24,26,0.923
31,  32 王溢正,25,24,1,0,0,0,12,5,0,0,0,138.2,1.47,4.54,620,2252,171,22,33,1,6,113,15,0,77,70,148,148,1.000
32,"  83 CHEN, BO-HAO",25,0,25,0,0,0,1,3,0,2,6,24.0,2.08,4.12,123,448,34,1,16,4,0,18,2,0,12,11,33,18,1.833
33,"  37 CHIU, HAO-CHUN",24,0,24,0,0,0,0,1,0,1,11,19.1,2.02,5.12,98,412,20,2,19,1,2,18,3,0,12,11,26,12,2.167
34,"  18 PAN, WEI-LUN",23,23,0,1,0,0,8,7,0,0,0,120.0,1.48,5.10,529,1801,157,14,20,0,3,52,2,0,78,68,151,142,1.063
35,"  81 CHEN, SHIH-PENG",23,23,0,0,0,0,11,8,0,0,0,124.0,1.50,3.48,543,2033,151,9,35,1,4,73,5,0,57,48,158,120,1.317
36,"  89 LAI, CHIH-YUAN",21,0,21,0,0,0,2,1,0,1,0,20.0,2.20,7.20,105,412,32,4,12,0,5,12,2,0,18,16,24,20,1.200
