,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F
0,  60 鄭鈞仁,63,0,63,0,0,0,1,2,0,2,17,60.1,1.57,4.18,271,1012,76,8,19,1,5,41,4,0,40,28,72,56,1.286
1,  0 陳禹勳,62,0,62,0,0,0,6,5,12,6,11,55.1,1.61,5.37,258,1001,63,9,26,1,8,61,2,0,38,33,47,52,0.904
2,  40 黃竣彥,61,0,61,0,0,0,4,6,0,5,12,64.2,1.42,4.31,286,1093,63,7,29,2,4,49,8,0,36,31,68,71,0.958
3,  00 蘇俊璋,60,0,60,0,0,0,2,3,0,3,14,50.2,1.38,4.62,220,861,59,9,11,1,1,66,4,0,26,26,39,43,0.907
4,  69 黃子鵬,59,0,59,0,0,0,3,1,1,4,18,66.1,1.34,3.12,283,1035,67,4,22,2,7,57,3,1,27,23,73,55,1.327
5,  12 陳韻文,56,0,56,0,0,0,5,2,23,5,3,56.0,1.09,2.09,234,947,42,5,19,4,5,54,8,0,15,13,61,49,1.245
6,  94 吳俊偉,56,0,56,0,0,0,3,3,0,4,24,49.2,1.35,3.08,217,825,48,4,19,3,3,54,3,0,23,17,44,46,0.957
7,  19 鄭凱文,54,0,54,0,0,0,1,3,2,1,15,55.0,1.27,3.11,232,879,59,2,11,0,2,42,0,0,21,19,61,57,1.070
8,  13 陳鴻文,53,0,53,0,0,0,7,6,16,6,1,54.2,1.48,4.77,243,918,65,6,16,4,1,46,3,0,32,29,48,63,0.762
9,  82 王尉永,52,0,52,0,0,0,0,2,0,2,10,45.1,1.70,6.75,207,779,58,5,19,0,0,54,3,1,40,34,35,41,0.854
10,  50 蔡齊哲,52,0,52,0,0,0,6,2,0,3,12,51.1,1.40,3.51,221,838,58,5,14,2,1,45,3,0,23,20,44,57,0.772
11,  34 李振昌,51,0,51,0,0,0,1,4,23,5,5,51.1,0.94,3.86,202,781,33,6,15,2,2,78,4,0,22,22,29,43,0.674
12,  96 林羿豪,46,0,46,0,0,0,0,4,1,4,11,44.1,1.71,6.29,209,824,51,5,25,2,3,43,3,0,33,31,52,33,1.576
13,  41 王躍霖,45,0,45,0,0,0,3,3,10,4,9,47.0,1.30,4.40,200,774,54,6,7,0,1,43,6,0,23,23,49,46,1.065
14,  11 林晨樺,45,0,45,0,0,0,2,1,0,1,3,50.2,1.48,4.97,226,816,65,9,10,0,4,33,1,0,30,28,52,62,0.839
15,  42 傅于剛,43,0,43,0,0,0,1,0,0,0,7,51.0,1.47,4.24,233,922,59,6,16,1,3,46,4,0,28,24,33,75,0.440
16,  48 賴鴻誠,42,0,42,0,0,0,0,0,1,2,12,37.1,1.45,4.82,167,660,40,4,14,0,4,35,2,0,20,20,40,34,1.176
17,  23 劉軒荅,42,0,42,0,0,0,1,5,0,0,7,51.2,1.63,5.75,243,907,61,7,23,1,7,28,4,0,36,33,51,72,0.708
18,  83 陳柏豪,41,1,40,0,0,0,1,3,0,1,7,48.0,1.27,3.38,205,813,44,3,17,1,4,46,2,0,20,18,43,50,0.860
19,  21 彭識穎,38,0,38,0,0,0,0,1,2,0,2,37.2,1.91,6.45,184,693,55,5,17,0,4,22,1,0,34,27,40,46,0.870
20,  95 江承峰,29,0,29,0,0,0,1,0,0,0,7,33.1,1.32,4.59,140,576,32,3,12,0,5,30,3,0,17,17,39,22,1.773
21,  16 朱俊祥,29,0,29,0,0,0,2,1,0,1,2,29.0,1.41,3.72,134,539,26,1,15,1,3,40,8,0,15,12,19,30,0.633
22,  44 索沙,29,29,0,4,1,3,15,5,0,0,0,194.1,1.37,3.38,828,3110,230,12,37,0,4,172,6,1,90,73,182,203,0.897
23,  24 霸能,28,26,2,0,0,0,10,9,0,0,0,173.1,1.51,5.24,756,2862,198,21,63,0,7,139,9,1,111,101,232,117,1.983
24,  46 德保拉,27,26,1,1,0,0,16,9,0,0,0,174.1,1.16,3.20,721,2963,154,17,48,0,11,192,4,0,72,62,203,113,1.796
25,  79 謝榮豪,26,0,26,0,0,0,1,0,1,0,0,20.2,1.94,3.92,99,351,30,4,10,2,0,9,0,0,9,9,25,23,1.087
26,  51 林其緯,26,1,25,0,0,0,1,2,0,0,3,33.1,1.53,5.40,151,561,35,5,16,0,2,26,3,0,21,20,21,51,0.412
27,  22 卡本特,26,25,1,0,0,0,10,7,0,0,0,157.1,1.36,4.00,692,2601,181,13,33,0,18,150,7,1,82,70,165,145,1.138
28,  43 林威志,25,0,25,0,0,0,1,0,0,0,1,28.0,1.57,5.46,128,448,33,3,11,0,5,11,5,0,17,17,35,33,1.061
29,  28 米蘭達,25,25,0,0,0,0,10,8,0,0,0,156.1,1.34,3.80,672,2707,149,14,60,1,5,170,11,1,75,66,147,140,1.050
30,  37 羅國華,23,0,23,0,0,0,0,2,0,1,0,23.1,1.59,5.01,100,369,30,3,7,0,2,18,2,0,13,13,18,25,0.720
31,  39 羅力,23,23,0,0,0,0,6,11,0,0,0,136.2,1.46,5.00,608,2187,172,16,28,2,7,126,6,0,91,76,152,121,1.256
32,  12 江國豪,23,18,5,1,0,0,9,8,0,0,1,110.2,1.59,5.12,507,1836,141,19,35,1,5,63,5,0,72,63,131,131,1.000
33,  45 施子謙,22,21,1,0,0,0,8,8,0,0,0,108.0,1.79,6.92,511,1857,163,25,30,0,5,66,0,0,94,83,125,122,1.025
34,  44 黃偉晟,21,0,21,0,0,0,1,0,0,0,0,22.1,2.24,7.66,117,449,38,3,12,0,1,14,2,0,21,19,24,28,0.857
35,  32 王溢正,21,20,1,0,0,0,10,6,0,0,0,116.1,1.58,5.42,535,1926,146,15,38,0,6,82,11,0,79,70,125,137,0.912
36,  20 翁瑋均,21,20,1,1,0,0,9,7,0,0,0,109.0,1.70,7.02,518,1937,154,19,31,0,8,58,5,0,93,85,155,112,1.384
37,  57 歐書誠,21,0,21,0,0,0,0,0,0,1,1,19.2,1.93,4.58,98,377,30,2,8,0,2,12,2,0,12,10,23,23,1.000
38,  93 吳哲源,20,0,20,0,0,0,1,0,0,0,3,21.2,1.29,3.32,94,371,23,3,5,1,1,17,0,0,9,8,22,25,0.880
39,  81 陳仕朋,20,19,1,1,1,0,6,10,0,0,1,107.0,1.71,5.21,501,1832,152,12,31,0,2,72,3,0,73,62,136,108,1.259
40,  18 潘威倫,19,13,6,0,0,0,2,6,0,0,0,62.2,1.91,8.62,306,1087,106,16,14,0,2,32,2,0,63,60,65,87,0.747
41,  47 范玉禹,19,0,19,0,0,0,0,0,0,2,0,18.0,2.44,13.50,97,345,37,2,7,1,0,16,2,0,27,27,21,15,1.400
42,  11 廖乙忠,18,15,3,0,0,0,4,8,0,0,0,86.2,1.62,6.96,400,1516,112,16,28,0,9,70,6,1,71,67,76,105,0.724
43,  64 黃恩賜,18,18,0,0,0,0,9,2,0,0,0,102.1,1.25,4.40,430,1622,98,16,30,0,4,101,6,0,57,50,114,83,1.373
44,  16 江辰晏,18,17,1,0,0,0,6,9,0,0,0,85.1,1.68,7.07,398,1558,116,23,27,0,6,67,1,1,73,67,83,99,0.838
45,  35 羅傑斯,17,17,0,2,1,0,6,4,0,0,0,109.0,1.28,3.47,461,1764,111,8,28,2,7,113,2,2,50,42,111,89,1.247
46,  12 洪聖欽,15,2,13,0,0,0,0,2,0,0,0,27.2,2.39,9.11,142,522,49,13,17,0,1,10,1,1,38,28,33,32,1.031
47,  41 鄭佳彥,14,0,14,0,0,0,0,0,0,0,2,12.0,1.33,2.25,52,193,8,1,8,0,1,9,0,0,4,3,13,13,1.000
48,  48 林航,13,0,13,0,0,0,0,0,1,1,1,10.2,2.91,16.88,65,226,29,0,2,0,1,4,1,0,24,20,20,9,2.222
49,  50 布雷克,13,12,1,0,0,0,5,3,0,1,0,69.2,1.39,5.68,302,1180,69,6,28,0,5,48,3,0,45,44,63,89,0.708
